;;;;;;
(;;(;(;（;(;
);;););）;);
abilities;;Abilities;技能;能力;능력;
act;;Part;部分;アクト;파트;
act-1;;Part I:;第一部分;アクト1;파트 I:;
act-2;;Part II:;第二部分;Part II:;파트 II:;
act-3;;Part III:;第三部分;Part III:;파트 III:;
advice-camp;;Module rewards from the camp structures are powerful. Plan to finish each stage with enough plasma to purchase them.;营地建筑的奖励模块非常强大。确保关卡结束后有足够的等离子体购买它们。;キャンプの建物からのモジュール報酬は強力です。それらを購入するために十分なプラズマで各ステージを終了するように計画してください。;야영지 시설의 모듈 보상은 매우 유용합니다. 각 스테이지마다 모듈을 구매하기 위한 플라즈마를 충분히 확보하는 것을 잊지 마세요.;
advice-cracked;;Don't hoard $cracked$ modules, but use their strong one-time effect to secure a good rating or end a combat that is getting out of hand.;与其囤积$cracked$模块，不如利用它们强大的一次性效果来取得高评分或结束难缠的敌人。;一度きりの使用 ($cracked$) モジュールを貯め込まないでください。代わりに、強力な一度きりの効果を利用して、$gold$の評価を確保したり、手に負えなくなった戦闘に勝利したりしてください。;$cracked$ 상태의 모듈은 너무 쌓아두지 마시고, 강력한 일회용 효과로 높은 등급을 확보하거나, 감당할 수 없을 것 같은 전투를 마무리 지으세요.;
advice-deceleration;;Dont underestimate the effectiveness of simply slowing down an enemy.;不要小看单纯减速敌人的作用。;単に敵を遅くする効果を過小評価しないでください。;적을 느려지게 만드는 것의 유용성을 과소평가하지 마세요.;
advice-draft;;Key to a good build is a nice balance between energy sources, passthrough modules and effectors.;优秀模组的构建，在于能量型、中继型、效果型三种模块之间的良好平衡。;モジュールを戦利品として選ぶときは、エネルギー源、スループットモジュール、エフェクターの間でバランスを取ってください。;좋은 빌드의 핵심은 에너지원과 통과 모듈, 효과 모듈의 균형을 유지하는 것입니다.;
advice-enemies-1;;Click on enemies to see their abilities. Enemies will always try to disrupt your plans and support their allies.;点击敌人来查看他们的技能。他们总是致力于破坏你的计划，并帮助自己的盟友。;敵をクリックして能力を確認してください。敵は常にあなたの計画を妨害し、味方を支援しようとします。;적들을 클릭해 적의 능력을 확인해보세요. 적은 항상 여러분의 계획을 방해하며 자신의 아군을 지원하려 할 것입니다.;
advice-enemies-2;;Check enemy movesets for sources of disruption, such as $grav$ or $crust$.;查看敌人是否有干扰技能，如$grav$或$crust$。;敵の動きをチェックして、$grav$や$crust$などの妨害源があるかどうかを確認してください。;적이 $grav$나 $crust$ 같은 방해 행동을 취하려 하는지 확인하세요.;
advice-energy;;Every point of $energy$ you can generate is meaningful.;产出的每一点$energy$都会派上用场。;あなたが生成できる$energy$の各ポイントは重要です。;$energy$는 일단 생성하면 유의미하게 사용할 수 있습니다.;
advice-energy-2;;Try to not let $energy$ on sensor modules dissipate.;尽量不要浪费传感型模块产出的$energy$。;センサーモジュールのエネルギーが消散しないようにしてください。;감지기 모듈의 $energy$가 소멸되지 않게 하세요.;
advice-exhaustion;;Activating a $generator$ sets your next turn back by its Exhaustion value.;激活$generator$会使你的轮次延后等同疲劳值的步长。;$generator$をアクティブにすると、次のターンが疲労値でリセットされます。;$generator$를 활성화할 시 고갈 수치에 따라 다음 턴이 늦춰집니다.;
